,journal1,journal2,weight
0,Nature,PNAS,7449
1,Nature,Science,6180
2,Journal of Biological Chemistry,PNAS,6146
3,PNAS,Science,4928
4,Journal of Biological Chemistry,Nature,4157
5,Genome Res,PNAS,3909
6,Cell,PNAS,3303
7,Cell,Nature,3230
8,LPSN,wwwuniprotorg,2781
9,Cell,Journal of Biological Chemistry,2702
10,Biochemical and Biophysical Research Communications,Journal of Biological Chemistry,2667
11,Genomics,PNAS,2632
12,Nat Genet,PNAS,2466
13,Genomics,Journal of Biological Chemistry,2424
14,Genome Res,Journal of Biological Chemistry,2365
15,International Journal of Systematic and Evolutionary Microbiology,LPSN,2312
16,Genome Res,Nature,2306
17,Biochemical and Biophysical Research Communications,PNAS,2304
18,Journal of Biological Chemistry,Science,2285
19,PLoS ONE,PNAS,2269
20,Nature,PLoS ONE,2261
21,International Journal of Systematic and Evolutionary Microbiology,wwwuniprotorg,2180
22,Genome Res,Nat Genet,2036
23,PLoS ONE,Science,2035
24,Gene,PNAS,1965
25,Cell,Science,1915
26,Biochemistry,Journal of Biological Chemistry,1686
27,Gene,Journal of Biological Chemistry,1674
28,Genomics,Nature,1627
29,LPSN,The NamesforLife Abstracts,1623
30,Journal of Biological Chemistry,The Biochemical Journal,1600
31,Biochemical and Biophysical Research Communications,Nature,1555
32,The NamesforLife Abstracts,wwwuniprotorg,1514
33,International Journal of Systematic and Evolutionary Microbiology,The NamesforLife Abstracts,1487
34,Journal of Biological Chemistry,Nat Genet,1463
35,Nat Genet,Nature,1435
36,LPSN,wwwdsmzde,1395
37,wwwdsmzde,wwwuniprotorg,1369
38,Biochemistry,PNAS,1324
39,Journal of Biological Chemistry,Oncogene,1291
40,Gene,Nature,1277
41,Genome Res,Genomics,1270
42,PNAS,The Biochemical Journal,1266
43,Oncogene,PNAS,1223
44,Mol Cell Biol,PNAS,1152
45,Journal of Biological Chemistry,Mol Cell Biol,1119
46,Cell,Genome Res,1102
47,Nature,Nature Communications,1081
48,International Journal of Systematic and Evolutionary Microbiology,wwwdsmzde,1065
49,EMBO J,PNAS,1062
50,Gene,Genome Res,1057
51,EMBO J,Journal of Biological Chemistry,1053
52,Astronomy and Astrophysics,The Astrophysical Journal,1020
53,Cell,Genomics,1006
54,Biochemical and Biophysical Research Communications,Genomics,1002
55,Current Biology,Nature,999
56,Biochemical and Biophysical Research Communications,Cell,998
57,Monthly Notices of the Royal Astronomical Society,The Astrophysical Journal,994
58,Journal of Biological Chemistry,PLoS ONE,984
59,FEBS Lett,Journal of Biological Chemistry,982
60,Nucleic Acids Res,PNAS,974
