journal1,journal2,weight
Nature,PNAS,7449
Nature,Science,6180
Journal of Biological Chemistry,PNAS,6146
PNAS,Science,4928
Journal of Biological Chemistry,Nature,4157
Genome Res,PNAS,3909
Cell,PNAS,3303
Cell,Nature,3230
LPSN,wwwuniprotorg,2781
Cell,Journal of Biological Chemistry,2702
Biochemical and Biophysical Research Communications,Journal of Biological Chemistry,2667
Genomics,PNAS,2632
Nat Genet,PNAS,2466
Genomics,Journal of Biological Chemistry,2424
Genome Res,Journal of Biological Chemistry,2365
International Journal of Systematic and Evolutionary Microbiology,LPSN,2312
Genome Res,Nature,2306
Biochemical and Biophysical Research Communications,PNAS,2304
Journal of Biological Chemistry,Science,2285
PLoS ONE,PNAS,2269
Nature,PLoS ONE,2261
International Journal of Systematic and Evolutionary Microbiology,wwwuniprotorg,2180
Genome Res,Nat Genet,2036
PLoS ONE,Science,2035
Gene,PNAS,1965
Cell,Science,1915
Biochemistry,Journal of Biological Chemistry,1686
Gene,Journal of Biological Chemistry,1674
Genomics,Nature,1627
LPSN,The NamesforLife Abstracts,1623
Journal of Biological Chemistry,The Biochemical Journal,1600
Biochemical and Biophysical Research Communications,Nature,1555
The NamesforLife Abstracts,wwwuniprotorg,1514
International Journal of Systematic and Evolutionary Microbiology,The NamesforLife Abstracts,1487
Journal of Biological Chemistry,Nat Genet,1463
Nat Genet,Nature,1435
LPSN,wwwdsmzde,1395
wwwdsmzde,wwwuniprotorg,1369
Biochemistry,PNAS,1324
Journal of Biological Chemistry,Oncogene,1291
Gene,Nature,1277
Genome Res,Genomics,1270
PNAS,The Biochemical Journal,1266
Oncogene,PNAS,1223
Mol Cell Biol,PNAS,1152
Journal of Biological Chemistry,Mol Cell Biol,1119
Cell,Genome Res,1102
Nature,Nature Communications,1081
International Journal of Systematic and Evolutionary Microbiology,wwwdsmzde,1065
EMBO J,PNAS,1062
Gene,Genome Res,1057
EMBO J,Journal of Biological Chemistry,1053
Astronomy and Astrophysics,The Astrophysical Journal,1020
Cell,Genomics,1006
Biochemical and Biophysical Research Communications,Genomics,1002
Current Biology,Nature,999
Biochemical and Biophysical Research Communications,Cell,998
Monthly Notices of the Royal Astronomical Society,The Astrophysical Journal,994
Journal of Biological Chemistry,PLoS ONE,984
FEBS Lett,Journal of Biological Chemistry,982
Nucleic Acids Res,PNAS,974
FEBS Lett,PNAS,951
Nature Communications,Science,936
FEBS Letters,Journal of Biological Chemistry,932
Nucleic Acids Research,PNAS,919
Astronomy and Astrophysics,Monthly Notices of the Royal Astronomical Society,916
Biochemical and Biophysical Research Communications,Genome Res,913
Journal of Biological Chemistry,Molecular and Cellular Biology,911
Journal of Biological Chemistry,The EMBO Journal,910
Current Biology,PNAS,898
Biochimica et Biophysica Acta,Journal of Biological Chemistry,893
Blood,Journal of Biological Chemistry,881
Nature,Scientific Reports,871
The Astronomical Journal,The Astrophysical Journal,869
Nature,Oncogene,868
LPSN,wwwstraininfonet,861
Blood,PNAS,853
Nature Communications,PNAS,847
Biochemistry,Nature,846
Current Biology,Science,842
Biochim Biophys Acta,Journal of Biological Chemistry,831
wwwstraininfonet,wwwuniprotorg,827
Gene,Genomics,824
DNA Res,PNAS,806
PNAS,Scientific Reports,802
Science,Scientific Reports,802
PNAS,The EMBO Journal,793
Mol Cell Biol,Nature,789
Cell,Nat Genet,778
Cell,Gene,775
Astronomy and Astrophysics,The Astronomical Journal,767
EMBO J,Nature,766
Nature,The Biochemical Journal,766
Genome Research,PNAS,755
Cell,Oncogene,751
Biochemical and Biophysical Research Communications,Science,751
Molecular and Cellular Biology,PNAS,749
Biochemical and Biophysical Research Communications,Gene,746
The NamesforLife Abstracts,wwwdsmzde,736
Nature,The EMBO Journal,735
Nature Genetics,PNAS,734
Cell,PLoS ONE,734
Genomics,Nat Genet,724
Nature,Nature Genetics,720
PLoS ONE,Scientific Reports,717
Nature,Nucleic Acids Research,715
Biochim Biophys Acta,PNAS,713
Genome Research,Nature,711
Journal of Biological Chemistry,Nucleic Acids Research,710
Astronomy  Astrophysics,Astronomy and Astrophysics,709
DNA Res,Genome Res,706
Monthly Notices of the Royal Astronomical Society,The Astronomical Journal,689
Journal of Biological Chemistry,Nucleic Acids Res,689
FEBS Letters,PNAS,686
Nature,Physical Review Letters,684
Genome Research,Journal of Biological Chemistry,683
Astronomy  Astrophysics,The Astrophysical Journal,680
BMJ,Lancet,679
wwwdsmzde,wwwstraininfonet,676
Genome Res,Nucleic Acids Res,672
Genomics,Science,671
J Cell Biol,PNAS,668
Lancet,Nature,664
Gene,Nat Genet,663
Nature,Nucleic Acids Res,663
Nature,Neuron,654
Cell,The EMBO Journal,651
Neuron,PNAS,641
International Journal of Systematic and Evolutionary Microbiology,wwwstraininfonet,635
Astronomy  Astrophysics,Monthly Notices of the Royal Astronomical Society,629
Biochemical and Biophysical Research Communications,The Biochemical Journal,626
Genome Res,Mol Cell Biol,625
J Cell Biol,Journal of Biological Chemistry,622
Cell,Molecular and Cellular Biology,620
Current Biology,PLoS ONE,620
Molecular and Cellular Biology,Nature,615
Blood,Nature,613
Journal of Molecular Biology,PNAS,607
Journal of Biological Chemistry,Nature Genetics,605
Journal of Biological Chemistry,Journal of Molecular Biology,601
Biochimica et Biophysica Acta,PNAS,599
Nature,The Astrophysical Journal,593
Hum Mol Genet,PNAS,581
Cell,EMBO J,581
Biochemistry,Science,577
Cell,Mol Cell Biol,576
EMBO J,Mol Cell Biol,571
Biochemical and Biophysical Research Communications,Biochemistry,570
Biochemical and Biophysical Research Communications,Nat Genet,566
Lancet,Science,566
J Mol Biol,PNAS,564
Gene,Science,563
Cell,Nucleic Acids Research,562
Biochemical and Biophysical Research Communications,Oncogene,558
EMBO J,Genome Res,553
Journal of Biological Chemistry,The Journal of Cell Biology,552
Nature Genetics,Science,552
Am J Hum Genet,PNAS,549
Physical Review Letters,Science,543
FEBS Lett,Genome Res,543
FEBS Lett,Nature,542
FEBS Letters,Nature,539
Cancer Res,PNAS,538
Journal of Molecular Biology,Nature,534
Genome Res,Science,532
Cancer Res,Journal of Biological Chemistry,529
Nat Biotechnol,PNAS,527
JAMA,Lancet,526
Genomics,The Biochemical Journal,520
Nucleic Acids Research,Science,520
Journal of Biological Chemistry,Molecular Cell,519
Nature Communications,PLoS ONE,516
Curr Biol,PNAS,512
American Journal of Human Genetics,PNAS,509
Journal of Vertebrate Paleontology,PLoS ONE,508
