journal_name,num_citation
Acta Ophthalmologica,396
Acta Palaeontologica Polonica,885
Am J Hum Genet,1049
American Family Physician,613
American Journal of Human Genetics,1227
American Journal of Physical Anthropology,626
Anal Biochem,329
Angewandte Chemie International Edition,873
Animal Behaviour,924
Annals of Internal Medicine,783
Annals of the New York Academy of Sciences,1080
Annual Review of Biochemistry,469
Applied and Environmental Microbiology,1003
Arch Biochem Biophys,495
Archives of Biochemistry and Biophysics,547
Astronomy  Astrophysics,1404
Astronomy Letters,453
Astronomy and Astrophysics,2370
Astrophysical Journal,709
BMC Evolutionary Biology,1105
BMC Genomics,684
BMJ,2356
Behavioral Ecology and Sociobiology,571
Billboard,4488
BioEssays,548
BioScience,730
Biochemical and Biophysical Research Communications,4013
Biochemistry,2747
Biochim Biophys Acta,1434
Biochimica et Biophysica Acta,1497
Biographical Memoirs of Fellows of the Royal Society,1495
Bioinformatics,635
Biology Letters,823
Blood,1807
Botanical Journal of the Linnean Society,940
British Medical Journal,1301
CDSADC Collection of Electronic Catalogues,319
Cancer Res,883
Cancer Research,1126
Cell,5769
Cell Cycle,367
Cellular and Molecular Life Sciences,477
Chemical Reviews,921
Circulation,1104
Circulation Research,462
Cochrane Database of Systematic Reviews,786
Cretaceous Research,686
Curr Biol,735
Current Biology,2278
Cytogenet Cell Genet,531
Cytogenetics and Cell Genetics,325
DNA Res,919
DNA Research,411
Development,794
Diabetes,411
EMBO J,1537
EMBO Rep,401
EMBO Reports,507
Earth and Planetary Science Letters,733
Ecology,794
Endocrinology,698
Entertainment Weekly,1105
Eur J Biochem,844
European Journal of Biochemistry,543
Evolution,993
Exp Cell Res,380
Experimental Cell Research,362
FASEB J,361
FASEB Journal,397
FEBS Lett,1440
FEBS Letters,1460
Fauna of New Zealand,574
Gene,2940
Genes  Development,833
Genes Dev,704
Genetics,982
Genome Biol,525
Genome Biology,667
Genome Res,4293
Genome Research,1541
Genomics,3773
Geology,903
Geophysical Research Letters,938
Hum Genet,516
Hum Mol Genet,885
Human Genetics,651
Human Molecular Genetics,950
Human Mutation,461
Icarus,777
Immunity,489
Int J Cancer,353
International Journal of Cancer,443
International Journal of Systematic and Evolutionary Microbiology,4549
J Am Chem Soc,1211
J Cell Biol,966
J Cell Sci,668
J Clin Invest,593
J Exp Med,405
J Immunol,678
J Mol Biol,983
J Neurosci,615
J Virol,550
JAMA,1909
Journal of Bacteriology,1163
Journal of Biological Chemistry,12229
Journal of Cell Science,721
Journal of Experimental Biology,622
Journal of Geophysical Research,986
Journal of Human Evolution,477
Journal of Immunology,794
Journal of Mammalogy,1003
Journal of Molecular Biology,1277
Journal of Neurochemistry,429
Journal of Paleontology,1205
Journal of Personality and Social Psychology,896
Journal of Systematic Palaeontology,755
Journal of Theoretical Biology,435
Journal of Vertebrate Paleontology,2135
Journal of Virology,880
Journal of the American Chemical Society,2465
LPSN,3134
Lancet,4086
Mamm Genome,258
Mammalian Species,670
Mol Biol Cell,610
Mol Cell,709
Mol Cell Biol,1550
Mol Cell Proteomics,290
Mol Syst Biol,442
Molecular Biology and Evolution,983
Molecular Biology of the Cell,527
Molecular Cell,879
Molecular Ecology,732
Molecular Phylogenetics and Evolution,2604
Molecular and Cellular Biology,1484
