source;target;weight
bmj;lancet;7369
lancet;the cochrane database of systematic reviews;7201
bmj;the cochrane database of systematic reviews;3898
jama;the cochrane database of systematic reviews;3130
the cochrane database of systematic reviews;the new england journal of medicine;2936
jama;lancet;2759
lancet;the new england journal of medicine;2484
annals of internal medicine;the cochrane database of systematic reviews;2344
cochrane database of systematic reviews;the cochrane database of systematic reviews;2208
bmj;jama;1742
american journal of psychiatry;the american journal of psychiatry;1715
pediatrics;the cochrane database of systematic reviews;1707
circulation;lancet;1682
annals of internal medicine;lancet;1559
jama;the new england journal of medicine;1553
neurology;the cochrane database of systematic reviews;1502
