source;target;weight
cretaceous research;paleontological journal;10539
monthly notices of the royal astronomical society;the astrophysical journal;9946
cretaceous research;journal of systematic palaeontology;8693
astronomy and astrophysics;the astrophysical journal;8135
the astronomical journal;the astrophysical journal;8034
cretaceous research;journal of vertebrate paleontology;7086
physical review d;physical review letters;6052
acta palaeontologica polonica;journal of vertebrate paleontology;6002
alcheringa an australasian journal of palaeontology;cretaceous research;5888
astronomy  astrophysics;the astrophysical journal;5801
cretaceous research;journal of paleontology;5539
astronomy and astrophysics;monthly notices of the royal astronomical society;5535
journal of paleontology;journal of vertebrate paleontology;5499
acta palaeontologica polonica;cretaceous research;5142
journal of systematic palaeontology;journal of vertebrate paleontology;4922
journal of paleontology;paleontological journal;4382
cretaceous research;palaeontologia electronica;4093
physical review b;physical review letters;3968
monthly notices of the royal astronomical society;the astronomical journal;3618
astronomy and astrophysics;the astronomical journal;3595
astronomy  astrophysics;astronomy and astrophysics;3436
journal of systematic palaeontology;paleontological journal;3327
astronomy  astrophysics;monthly notices of the royal astronomical society;3311
journal of paleontology;journal of systematic palaeontology;3245
journal of vertebrate paleontology;paleontological journal;3202
journal of vertebrate paleontology;palaeontologia electronica;3167
acta palaeontologica polonica;journal of paleontology;3019
cretaceous research;earth and environmental science transactions of the royal society of edinburgh;2984
cretaceous research;neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen;2961
the astrophysical journal;the astrophysical journal letters;2923
journal of vertebrate paleontology;vertebrata palasiatica;2855
icarus;the astrophysical journal;2853
astrophysical journal;the astrophysical journal;2831
comptes rendus palevol;cretaceous research;2683
acta palaeontologica polonica;paleontological journal;2676
astronomy  astrophysics;the astronomical journal;2388
acta palaeontologica polonica;journal of systematic palaeontology;2352
physical review a;physical review letters;2351
journal of paleontology;neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen;2340
alcheringa an australasian journal of palaeontology;paleontological journal;2298
cretaceous research;fossil record;2291
neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen;paleontological journal;2260
icarus;the astronomical journal;2191
physical review;physical review letters;2072
cretaceous research;papers in palaeontology;2057
canadian journal of earth sciences;journal of vertebrate paleontology;2043
physical review d;physics letters b;2034
cretaceous research;geological magazine;1937
astronomy and astrophysics;astrophysical journal;1931
journal of vertebrate paleontology;neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen;1917
cretaceous research;gondwana research;1907
comptes rendus palevol;journal of vertebrate paleontology;1839
alcheringa an australasian journal of palaeontology;journal of paleontology;1822
journal of paleontology;palaeontologia electronica;1816
journal of paleontology;papers in palaeontology;1710
geology;journal of paleontology;1682
physical review letters;physics letters b;1680
journal of vertebrate paleontology;papers in palaeontology;1678
palaeontologia electronica;paleontological journal;1677
astrophysical journal;monthly notices of the royal astronomical society;1667
journal of systematic palaeontology;palaeontologia electronica;1658
cretaceous research;proceedings of the geologists association;1604
geophysical research letters;icarus;1595
alcheringa an australasian journal of palaeontology;journal of systematic palaeontology;1591
publications of the astronomical society of the pacific;the astrophysical journal;1558
journal of systematic palaeontology;neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen;1557
acta palaeontologica polonica;neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen;1504
acta palaeontologica polonica;palaeontologia electronica;1477
bulletin of geosciences;cretaceous research;1431
geobios;journal of vertebrate paleontology;1412
cretaceous research;journal of south american earth sciences;1401
