source;target;weight
slavic review;the slavonic and east european review;7433
slavic review;the journal of modern history;5693
russian review;slavic review;4935
the journal of modern history;the slavonic and east european review;3601
russian history;slavic review;3597
europeasia studies;slavic review;2891
russian review;the slavonic and east european review;2886
russian history;the slavonic and east european review;2209
russian review;the journal of modern history;2198
foreign affairs;slavic review;2067
journal of personality and social psychology;psychological bulletin;1758
russian history;the journal of modern history;1712
europeasia studies;the slavonic and east european review;1551
russian history;russian review;1406
journal of personality and social psychology;personality and social psychology bulletin;1400
