journal_name;area
21st Century Music;SSH
2D Materials;PS
3 Biotech;LS & PS
3D Printing and Additive Manufacturing;PS
3D Printing in Medicine;PS & HS
3D Research;PS
3L: Language, Linguistics, Literature;SSH
452°F;SSH
4OR;SSH & PS
A + U-Architecture and Urbanism;SSH & PS
A Contrario;SSH
A e C - Revista de Direito Administrativo e Constitucional;SSH
A&A case reports;HS
A&A practice;HS
A.M.A. American Journal of Diseases of Children;HS
A.M.A. archives of dermatology;HS
A.M.A. Archives of Dermatology and Syphilology;HS
A.M.A. archives of industrial health;HS
A.M.A. Archives of Industrial Hygiene and Occupational Medicine;HS
A.M.A. archives of internal medicine;HS
A.M.A. archives of neurology;SSH & HS
A.M.A. archives of neurology and psychiatry;HS
A.M.A. archives of ophthalmology;HS
A.M.A. archives of otolaryngology;HS
A.M.A. archives of pathology;HS
A.M.A. archives of surgery;HS
a/b: Auto/Biography Studies;SSH
A|Z ITU Journal of Faculty of Architecture;SSH & PS
A+BE Architecture and the Built Environment;SSH & PS
AAA, Arbeiten aus Anglistik und Amerikanistik;SSH
AAC: Augmentative and Alternative Communication;HS
AACE Clinical Case Reports;HS
AACL Bioflux;LS & PS
AACN Advanced Critical Care;HS
AACN clinical issues;HS
AACN clinical issues in critical care nursing;HS
AANA Journal;HS
AANNT journal / the American Association of Nephrology Nurses and Technicians;HS
AAO Journal;HS
AAOHN Journal;HS
AAPG Bulletin;PS
AAPG Memoir;PS
AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali;LS, SSH & PS
AAPPO journal;HS
AAPS Advances in the Pharmaceutical Sciences Series;LS
AAPS Journal;LS
AAPS PharmSci;LS
AAPS PharmSciTech;LS, PS & HS
Aardkundige Mededelingen;PS
AARN news letter;HS
AAS History Series;SSH
AAS Open Research;Multi
AATCC Journal of Research;PS
AATCC Review;PS
AB bookman's weekly : for the specialist book world;HS
Ab Imperio;SSH
ABA Bank Marketing;SSH
ABA Journal;SSH
ABAC Journal;SSH
Abacus;SSH
ABB Review;PS
Abbey Newsletter;PS
Abdominal Imaging;HS
Abdominal Radiology;HS
Aberdeen's Concrete Construction;PS
Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg;PS
Abhandlungen der Senckenberg Gesellschaft fur Naturforschung;PS
Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft;PS
Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften;HS
aBIOTECH;LS
Abrasive Engineering;PS
Abrasives;PS
Abriu;SSH
Abstract and Applied Analysis;PS
Abstracta Botanica;LS
ABU Technical Review;PS
Academe;SSH
Academia (Greece);SSH
Academia Economic Papers;SSH
Academia Peruana de Cirugia;HS
Academia Revista Latinoamericana de Administracion;SSH
Academic Emergency Medicine;HS
Academic Forensic Pathology;HS
Academic Journal of Cancer Research;LS & HS
Academic Journal of Interdisciplinary Studies;SSH & PS
Academic Journal of Manufacturing Engineering;PS
Academic Journal of Second Military Medical University;HS
Academic Journal of Xi'an Jiaotong University;LS & HS
Academic Leadership;SSH
Academic Medicine;SSH & HS
Academic Pathology;HS
Academic Pediatrics;HS
Academic Psychiatry;SSH & HS
Academic Quarter;SSH
Academic Questions;SSH
Academic Radiology;HS
Academica Turistica;SSH
Academy of Accounting and Financial Studies Journal;SSH
Academy of Banking Studies Journal;SSH
Academy of Entrepreneurship Journal;SSH
Academy of Management Annals;SSH
Academy of Management Executive;SSH
Academy of Management Journal;SSH
Academy of Management Learning and Education;SSH
Academy of Management Perspectives;SSH
Academy of Management Review;SSH
Academy of Marketing Studies Journal;SSH
Academy of Strategic Management Journal;SSH
Acadiensis;SSH
Acarina;LS
Acarologia;LS
ACC Cardiosource Review Journal;HS
ACC Current Journal Review;HS
Access to Justice in Eastern Europe;SSH
Accident Analysis and Prevention;SSH, PS & HS
Accident and Emergency Nursing;HS
Accountability in Research;SSH & HS
Accounting;LS & SSH
Accounting and Business Research;SSH
Accounting and Finance;SSH
Accounting and the Public Interest;SSH
Accounting Education;SSH
Accounting Forum;SSH
Accounting Historians Journal;SSH
Accounting History;SSH
Accounting History Review;SSH
Accounting Horizons;SSH
Accounting in Europe;SSH
Accounting Perspectives;SSH
Accounting Research Journal;SSH
Accounting Review;SSH
Accounting, Auditing and Accountability Journal;SSH
Accounting, Business and Financial History;SSH
Accounting, Economics and Law: A Convivium;SSH
Accounting, Finance, Sustainability, Governance and Fraud;SSH
Accounting, Management and Information Technologies;SSH & PS
Accounting, Organizations and Society;SSH
Accounts of Chemical Research;PS & HS
Accounts of Materials Research;PS
Accreditation and Quality Assurance;PS
ACDI Anuario Colombiano de Derecho Internacional;SSH
ACG Case Reports Journal;HS
ACH - Models in Chemistry;PS
ACI Materials Journal;PS
ACI Structural Journal;PS
ACIMED;HS
ACM Communications in Computer Algebra;PS
ACM Computing Surveys;PS
ACM Inroads;SSH & PS
ACM Journal on Educational Resources in Computing;PS
ACM Journal on Emerging Technologies in Computing Systems;PS
ACM SIGBED Review;PS
ACM SIGPLAN Notices;PS
ACM Transactions on Accessible Computing;PS
ACM Transactions on Algorithms;PS
ACM Transactions on Applied Perception;SSH & PS
ACM Transactions on Asian and Low-Resource Language Information Processing;PS
ACM Transactions on Asian Language Information Processing;PS
ACM Transactions on Autonomous and Adaptive Systems;PS
ACM Transactions on Computation Theory;PS
ACM Transactions on Computational Logic;PS
ACM Transactions on Computer Systems;PS
ACM Transactions on Computer-Human Interaction;PS
ACM Transactions on Computing Education;SSH & PS
ACM Transactions on Computing for Healthcare;PS & HS
ACM Transactions on Cyber-Physical Systems;PS
ACM Transactions on Database Systems;PS
ACM Transactions on Design Automation of Electronic Systems;PS
ACM Transactions on Economics and Computation;SSH & PS
ACM Transactions on Graphics;PS
ACM Transactions on Human-Robot Interaction;PS
ACM Transactions on Information and System Security;PS
ACM Transactions on Information Systems;SSH & PS
ACM Transactions on Intelligent Systems and Technology;PS
ACM Transactions on Internet Technology;PS
ACM Transactions on Knowledge Discovery from Data;PS
ACM Transactions on Management Information Systems;SSH & PS
ACM Transactions on Mathematical Software;PS
ACM Transactions on Modeling and Computer Simulation;PS
ACM Transactions on Modeling and Performance Evaluation of Computing Systems;PS
ACM Transactions on Multimedia Computing, Communications and Applications;PS
ACM Transactions on Office Information Systems;PS
ACM Transactions on Parallel Computing;PS
ACM Transactions on Privacy and Security;PS
ACM Transactions on Programming Languages and Systems;PS
ACM Transactions on Reconfigurable Technology and Systems;PS
ACM Transactions on Sensor Networks;PS
ACM Transactions on Software Engineering and Methodology;PS
ACM Transactions on Spatial Algorithms and Systems;PS
ACM Transactions on Speech and Language Processing;PS
ACM Transactions on Storage;PS
ACM Transactions on the Web;PS
ACME;SSH
ACOG Clinical Review;HS
ACOG committee opinion;HS
ACOG Current Journal Review;HS
ACORN;HS
Acotaciones;SSH
Acoustic Research Letters Online;PS
Acoustical Physics;PS
Acoustical Science and Technology;PS
Acoustics Australia;PS
Acoustics Bulletin;PS
Acoustics Letters;PS
ACP journal club;HS
Acque Sotterranee - Italian Journal of Groundwater;PS
Acquisitions Librarian;SSH
ACRN Journal of Finance and Risk Perspectives;SSH
Acrocephalus;LS
Across Languages and Cultures;SSH
ACS Agricultural Science and Technology;LS
ACS Applied Bio Materials;PS & HS
ACS Applied Electronic Materials;PS
ACS Applied Energy Materials;PS
ACS Applied Materials & Interfaces;PS
ACS Applied Nano Materials;PS
ACS Applied Polymer Materials;PS
ACS Biomaterial Science and Engineering;PS
ACS Catalysis;PS
ACS Central Science;PS
ACS Chemical Biology;LS & HS
ACS Chemical Neuroscience;LS & HS
ACS Combinatorial Science;PS & HS
ACS Earth and Space Chemistry;PS
ACS Energy Letters;PS
ACS Environmental Science and Technology Water;PS
ACS Food Science and Technology;LS & PS
ACS Infectious Diseases;HS
ACS Macro Letters;PS
ACS Materials Letters;PS
ACS Medicinal Chemistry Letters;LS & PS
ACS Nano;PS
ACS Omega;PS
ACS Pharmacology and Translational Science;LS & HS
ACS Photonics;LS & PS
ACS Sensors;PS
ACS Sustainable Chemistry & Engineering;PS
ACS Symposium Series;PS
ACS Synthetic Biology;LS, PS & HS
ACSM Bulletin;PS
ACSM's Health and Fitness Journal;HS
Acta - Unio Internationalis Contra Cancrum;HS
Acta Academiae Artium Vilnensis;SSH
Acta Academiae Medicinae Hubei;HS
Acta Academiae Medicinae Primae Shanghai;HS
Acta Academiae Medicinae Sichuan;HS
Acta Academiae Medicinae Wuhan;PS
Acta Academica;SSH
Acta Acustica;PS & HS
Acta Acustica united with Acustica;SSH & PS
Acta ad Archaeologiam et Artium Historiam Pertinentia;SSH
Acta Adriatica;PS
Acta Agriculturae Scandinavica - Section A: Animal Science;LS & HS
Acta Agriculturae Scandinavica - Section B Soil and Plant Science;LS
Acta Agriculturae Slovenica;LS & PS
Acta Agrobotanica;LS
Acta Agronomica;LS
Acta Agronomica Hungarica;LS
Acta Agronomica Sinica;LS
Acta Agronomica Sinica(China);LS
Acta Alimentaria;LS
Acta Allergologica;HS
Acta allergologica. Supplementum;HS
Acta Amazonica;LS
Acta anaesthesiologica;HS
Acta Anaesthesiologica Belgica;HS
Acta Anaesthesiologica Italica;HS
Acta Anaesthesiologica Italica / Anaesthesia and Intensive Care in Italy;HS
Acta Anaesthesiologica Scandinavica;HS
Acta Anaesthesiologica Scandinavica, Supplement;HS
Acta Anaesthesiologica Sinica;HS
Acta Anaesthesiologica Taiwanica;HS
Acta Analytica;SSH
Acta Anatomica;HS
Acta Anatomica Sinica;LS & HS
Acta Angiologica;HS
Acta Antiqua Academiae Scientiarum Hungaricae;SSH
Acta Applicandae Mathematicae;PS
Acta Arachnologica;LS
Acta Archaeologica;SSH
Acta Archaeologica Academiae Scientiarum Hungaricae;SSH
Acta Archaeologica Lodziensia;SSH
Acta Arithmetica;PS
Acta Asiatica Varsoviensia;SSH
Acta Astronautica;PS
Acta Astronomica;PS
Acta Baltica Historiae et Philosophiae Scientiarum;SSH
Acta Baltico-Slavica;SSH
Acta Belgica de Arte Medicinali et Pharmaceutica Militari;HS
Acta Belgica historiae medicinae : official journal of the Belgian Association for the History of Medicine / Societas Belgica Historiae Medicinae;HS
Acta Belgica Medica Physica;HS
Acta Biochimica et Biophysica Academiae Scientiarum Hungaricae;HS
Acta Biochimica et Biophysica Hungarica;LS
Acta Biochimica et Biophysica Sinica;LS & HS
Acta Biochimica Polonica;LS
Acta Bioethica;SSH & HS
