,journal1,journal2,weight
0,lloyds list,lloyds list,314693
1,billboard,billboard,97850
2,new lloyds list,new lloyds list,91271
3,journal of biological chemistry,journal of biological chemistry,61268
4,nature,science,51706
5,nature,pnas,43631
6,gaceta de madrid,gaceta de madrid,41051
7,nature,nature,40593
8,journal of biological chemistry,pnas,40297
9,cretaceous research,cretaceous research,34379
10,pnas,science,33636
11,science,science,30823
12,pnas,pnas,28310
13,journal of biological chemistry,nature,24171
14,flight international,flight international,22520
15,cretaceous research,zootaxa,21597
16,cell,journal of biological chemistry,18217
17,the cochrane database of systematic reviews,the cochrane database of systematic reviews,17781
18,professional school counseling,professional school counseling,17615
19,cell,nature,16761
20,boletxedn oficial del estado,boletxedn oficial del estado,15963
21,flight,flight,15518
22,cell,pnas,14544
23,plos one,pnas,14383
24,nature,plos one,14283
25,journal of biological chemistry,oncogene,14178
26,journal of biological chemistry,science,13818
27,the astrophysical journal,the astrophysical journal,13679
28,the new york times,the new york times,12562
29,the new yorker,the new yorker,12392
30,official journal of the european union,official journal of the european union,12190
31,journal of biological chemistry,molecular and cellular biology,11605
32,cell,science,11423
33,plos one,science,11379
34,journal of biological chemistry,mol cell biol,11300
35,journal of vertebrate paleontology,plos one,10623
36,cretaceous research,paleontological journal,10539
37,genomics,journal of biological chemistry,10360
38,plos one,plos one,10247
39,zootaxa,zootaxa,10010
40,biochemistry,journal of biological chemistry,9961
41,monthly notices of the royal astronomical society,the astrophysical journal,9946
42,journal of vertebrate paleontology,journal of vertebrate paleontology,9719
43,genome res,pnas,9621
44,journal of the bombay natural history society,journal of the bombay natural history society,9605
45,cretaceous research,historical biology an international journal of paleobiology,9137
46,inside soap,inside soap,8953
47,icarus,science,8856
48,journal of biological chemistry,the biochemical journal,8813
49,cretaceous research,journal of systematic palaeontology,8693
50,cretaceous research,scientific reports,8497
51,cretaceous research,palaeoentomology,8479
52,analog science fiction and fact,analog science fiction and fact,8309
53,cretaceous research,peerj,8301
54,gene,journal of biological chemistry,8223
55,plos one,scientific reports,8180
56,astronomy and astrophysics,the astrophysical journal,8135
57,genome res,journal of biological chemistry,8131
58,boletxedn oficial del estado,gaceta de madrid,8036
59,the astronomical journal,the astrophysical journal,8034
60,biochemical and biophysical research communications,journal of biological chemistry,8008
61,biographical memoirs of fellows of the royal society,biographical memoirs of fellows of the royal society,7900
62,cell,cell,7812
63,physical review letters,physical review letters,7785
64,journal of the american chemical society,journal of the american chemical society,7781
65,journal of biological chemistry,the embo journal,7649
66,biochem biophys res commun,journal of biological chemistry,7519
67,slavic review,the slavonic and east european review,7433
68,bmj,lancet,7369
69,journal of vertebrate paleontology,peerj,7354
70,lancet,lancet,7311
71,embo j,journal of biological chemistry,7287
72,lancet,the cochrane database of systematic reviews,7201
73,nature,nature communications,7118
74,cretaceous research,journal of vertebrate paleontology,7086
75,pnas,scientific reports,7026
76,cretaceous research,plos one,6886
77,paleontological journal,zootaxa,6859
78,nature,the astrophysical journal,6644
79,bahxe1u02bcxed news,bahxe1u02bcxed news,6560
80,nature,scientific reports,6368
81,blood,journal of biological chemistry,6226
82,slavic review,slavic review,6204
83,astronomy and astrophysics,astronomy and astrophysics,6172
84,journal of vertebrate paleontology,scientific reports,6080
85,icarus,icarus,6069
86,physical review d,physical review letters,6052
87,acta palaeontologica polonica,journal of vertebrate paleontology,6002
88,alcheringa an australasian journal of palaeontology,cretaceous research,5888
89,astronomy  astrophysics,the astrophysical journal,5801
90,peerj,plos one,5764
91,peerj,scientific reports,5754
92,genomics,pnas,5699
93,slavic review,the journal of modern history,5693
94,nature communications,science,5664
95,cretaceous research,journal of paleontology,5539
96,astronomy and astrophysics,monthly notices of the royal astronomical society,5535
97,nan,nan,5515
98,journal of paleontology,journal of vertebrate paleontology,5499
99,journal of human evolution,pnas,5477
100,historical biology an international journal of paleobiology,journal of vertebrate paleontology,5452
101,oncogene,pnas,5434
102,genome res,nature,5429
103,gene,pnas,5397
104,bmj,bmj,5386
105,journal of human evolution,nature,5332
106,febs letters,journal of biological chemistry,5322
107,icarus,nature,5297
108,current biology,nature,5259
109,nature communications,pnas,5182
110,nucleic acids research,pnas,5172
111,febs lett,journal of biological chemistry,5161
112,acta palaeontologica polonica,cretaceous research,5142
113,inside soap,tv week,5128
114,folklore,folklore,5092
115,science,scientific reports,5079
116,journal of human evolution,plos one,5056
117,cretaceous research,zookeys,5048
118,nucleic acids research,nucleic acids research,4993
119,russian review,slavic review,4935
120,journal of systematic palaeontology,journal of vertebrate paleontology,4922
121,journal of biological chemistry,plos one,4877
122,journal of vertebrate paleontology,nature,4863
123,mycologia,mycologia,4838
124,nature,nature genetics,4833
125,genome res,genome res,4833
126,nature,physical review letters,4828
127,biochimica et biophysica acta,journal of biological chemistry,4828
128,journal of vertebrate paleontology,zoological journal of the linnean society,4785
129,flight,flight international,4751
130,molecular and cellular biology,pnas,4672
131,current biology,pnas,4665
132,tv week,tv week,4662
133,the journal of the acoustical society of america,the journal of the acoustical society of america,4654
134,nature,nucleic acids research,4597
135,journal of vertebrate paleontology,palaeontology,4552
136,journal of systematic palaeontology,zootaxa,4546
137,journal of biological chemistry,the journal of cell biology,4523
138,journal of biological chemistry,molecular cell,4446
139,historical biology an international journal of paleobiology,scientific reports,4442
140,historical biology an international journal of paleobiology,peerj,4441
141,biochemistry,pnas,4415
142,nat genet,pnas,4407
143,journal of biological chemistry,nucleic acids research,4398
144,journal of paleontology,paleontological journal,4382
145,mol cell biol,pnas,4369
146,the gazette of the democratic socialist republic of sri lanka,the gazette of the democratic socialist republic of sri lanka,4327
147,journal of paleontology,plos one,4321
148,journal of biological chemistry,nat genet,4308
149,journal of human evolution,journal of human evolution,4308
150,j cell biol,journal of biological chemistry,4286
151,journal of geophysical research,science,4245
152,acta palaeontologica polonica,plos one,4240
153,zookeys,zootaxa,4190
154,scientific reports,scientific reports,4172
155,gigascience,nature,4168
156,genome res,nat genet,4156
157,physical review d,physical review d,4126
158,current biology,science,4119
159,cretaceous research,palaeontologia electronica,4093
160,journal of paleontology,scientific reports,4082
161,journal of paleontology,zootaxa,4014
162,journal of human evolution,scientific reports,3977
163,physical review b,physical review letters,3968
164,pnas,the embo journal,3957
165,cancer research,journal of biological chemistry,3926
166,journal of personality and social psychology,journal of personality and social psychology,3910
167,bmj,the cochrane database of systematic reviews,3898
168,cretaceous research,zoological journal of the linnean society,3885
169,genes  development,journal of biological chemistry,3865
170,monthly notices of the royal astronomical society,monthly notices of the royal astronomical society,3852
171,historical biology an international journal of paleobiology,plos one,3824
172,lancet,nature,3823
173,journal of human evolution,science,3822
174,nature communications,scientific reports,3795
175,palaeogeography palaeoclimatology palaeoecology,scientific reports,3734
176,nature communications,plos one,3730
177,econometrica,econometrica,3695
178,bioinformatics,bioinformatics,3660
179,genome research,nature,3631
180,journal of biological chemistry,journal of molecular biology,3630
181,monthly notices of the royal astronomical society,the astronomical journal,3618
182,cretaceous research,palaeontology,3611
183,the journal of modern history,the slavonic and east european review,3601
184,russian history,slavic review,3597
185,nucleic acids res,pnas,3597
186,astronomy and astrophysics,the astronomical journal,3595
187,science,the astrophysical journal,3592
188,plos one,zootaxa,3584
189,journal of counseling  development,professional school counseling,3583
