source,target,weight
international journal of research in medical sciences,new perspectives quarterly,1
journal of computing and information science in engineering,nature chemistry,1
journal of computing and information science in engineering,n engl j med,1
joint bone spine,seminars in reproductive medicine,1
international journal of research in medical sciences,population association of america 2011 annual meeting program,1
journal of computing and information science in engineering,micromachines,1
journal of computing and information science in engineering,mechatronics,1
journal of computing and information science in engineering,mathematical programming series a,1
journal of computing and information science in engineering,journal on computing and cultural heritage,1
journal of computing and information science in engineering,journal of propulsion and power,1
journal of computing and information science in engineering,journal of manufacturing science and engineering,1
journal of computing,trends in ecology and evolution,1
journal of computing,simulation modelling practice and theory,1
journal of computing,proceedings of the royal society b biological sciences,1
j clin oncol,the british journal of general practice,1
journal of computing,private communications,1
joint bone spine,seminars in thrombosis and hemostasis,1
journal of computing,journal of information science and engineering,1
international journal of research in marketing,the review of arts literature philosophy and the humanities,1
journal of computing in civil engineering,schizophrenia bulletin,1
journal of computing in teacher education,scientific american,1
journal of computing in civil engineering,soft computing,1
journal of computing in teacher education,mass communication and society,1
journal of computing in teacher education,london review of education,1
journal of computing in teacher education,learning and leading with technology,1
international journal of research in marketing,technovation,1
journal of computing in teacher education,kappa delta pi record,1
american journal of epidemiology,recent results cancer res,1
journal of computing in teacher education,jrc scientific and technical report,1
journal of computing in teacher education,journal of visual impairment  blindness,1
journal of computing in teacher education,journal of the canadian association for curriculum studies,1
joint bone spine,reconstructive review,1
journal of computing in teacher education,journal of the american society for information science and technology,1
journal of computing in teacher education,journal of social sciences,1
journal of computing in teacher education,journal of science education and technology,1
journal of computing in teacher education,journal of science and technology,1
journal of computing in teacher education,journal of research on technology in education,1
journal of computing in teacher education,journal of medical internet research,1
journal of computing in teacher education,journal of literacy and technology,1
journal of computing in teacher education,journal of educators online,1
journal of computing in teacher education,journal of educational computing research,1
journal of computing in teacher education,journal of digital learning in teacher education,1
international journal of research in marketing,the academy of management journal,1
journal of computing in higher education,wall street journal,1
journal of computing in higher education,time,1
international journal of research in marketing,the academy of management review,1
international journal of research in marketing,the american political science review,1
journal of computing in higher education,the reading teacher,1
journal of computing in higher education,the quarterly review of distance education,1
american journal of obstetrics  gynecology,nature electronics,1
american journal of obstetrics  gynecology,nature climate change,1
joint bone spine,radiographics,1
journal of computing in teacher education,maternal and child health journal,1
international journal of research in marketing,technological forecasting and social change,1
journal of computing in teacher education,proceedings of the sigchi conference on human factors in computing systems  chi 07,1
international journal of research in marketing,social science research,1
american family physician,hum genet,1
joint bone spine,prostate cancer prostatic dis,1
journal of computing in teacher education,science,1
journal of computing in teacher education,scaffolding for struggling students,1
journal of computing in teacher education,review of research in education,1
journal of computing in teacher education,research and issues in music education,1
j clin oncol,the journal of clinical psychiatry,1
journal of computing in teacher education,rapport dactivitxe9s,1
journal of computing in teacher education,publications  research,1
journal of computing in teacher education,proceedings of the third international conference on learning analytics and knowledge  lak 13,1
american journal of epidemiology,recent patents on antiinfective drug discovery,1
international journal of research in marketing,sociology of health  illness,1
journal of computing in teacher education,proceedings of the royal society of london series b biological sciences,1
journal of computing in teacher education,online research journal perspective in health information management,1
american journal of epidemiology,recent progress in hormone research,1
international journal of research in marketing,spie proceedings vol 1900 chargecoupled devices and solid state optical sensors iii,1
international journal of research in marketing,statistics  probability letters,1
international journal of research in marketing,statues,1
journal of computing in teacher education,proceedings of the 4th international conference on multimedia and information and communication technologies in education micte 2006,1
joint bone spine,public health nutrition,1
journal of computing in teacher education,proceedings of the 23rd international conference on world wide web  www 14,1
journal of computing in teacher education,proceedings of the 2016 chi conference extended abstracts on human factors in computing systems  chi ea 16,1
american journal of obstetrics  gynecology,nature genetics,1
journal of computing in teacher education,proc r soc lond b biol sci,1
joint bone spine,qjm,1
international journal of research in marketing,strategy and business,1
journal of computing in teacher education,open learning,1
international journal of research in marketing,the antiquaries journal,1
journal of computing in higher education,the journal of the international institute,1
joint bone spine,res vet sci,1
j clin oncol,the faseb journal,1
international journal of research in marketing,the journal of abnormal and social psychology,1
joint bone spine,revista brasileira de reumatologia,1
j clin oncol,the international journal of biochemistry  cell biology,1
international journal of research in marketing,the journal of business,1
international journal of research in marketing,the journal of business strategy,1
international journal of research in marketing,the journal of international business studies,1
journal of computing in higher education,journal of information systems education,1
journal of computing in higher education,journal of information literacy,1
journal of computing in higher education,journal of human resources,1
journal of computing in higher education,journal of educational technology and society,1
j clin oncol,the forum,1
international journal of research in marketing,the journal of philosophy,1
international journal of research in marketing,the journal of product innovation management,1
journal of computing in higher education,journal of education for students placed at risk,1
journal of computing in higher education,journal of negro education,1
journal of computing in higher education,journal of education finance,1
journal of computing in higher education,journal of economic perspectives,1
american family physician,hss journal,1
am j physiol heart circ physiol,mathematics of computation,1
international journal of research in marketing,the journal of sustainable product design,1
american family physician,hsmha health reports,1
american journal of obstetrics  gynecology,national vital statistics reports,1
international journal of research in marketing,the netherlands journal of medicine,1
j clin oncol,the european molecular biology organization journal,1
am j physiol heart circ physiol,mayo clinic proceedings,1
international journal of research in marketing,the new yorker,1
journal of computing in civil engineering,statistics and computing,1
journal of computing in civil engineering,spe economics  management,1
international journal of research in marketing,the international review of retail distribution and consumer research,1
joint bone spine,reviews in endocrine and metabolic disorders,1
joint bone spine,respiratory care,1
joint bone spine,respiratory research,1
international journal of research in marketing,the appea journal,1
international journal of research in marketing,the economist,1
international journal of research in marketing,the education digest,1
journal of computing in higher education,the future of children,1
journal of computing in higher education,the elementary school journal,1
joint bone spine,respiratory medicine,1
journal of computing in higher education,the american school board journal,1
journal of computing in higher education,texas journal of women  the law,1
journal of computing in higher education,social science research,1
international journal of research in marketing,the hibbert journal,1
journal of computing in higher education,school psychology review,1
international journal of research in marketing,the historical journal,1
international journal of research in marketing,the industrial dynamics of the new digital economy,1
journal of computing in higher education,review of educational research,1
j clin oncol,the international journal of neuropsychopharmacology,1
journal of computing in higher education,psychological bulletin,1
journal of computing in higher education,preventing school failure,1
am j physiol heart circ physiol,leukemia,1
journal of computing in higher education,phi delta kappan,1
joint bone spine,rev endocr metab disord,1
journal of computing in higher education,open learning the journal of open distance and elearning,1
journal of computing in higher education,online learning,1
journal of computing in higher education,nursing education perspectives,1
journal of computing in higher education,new directions for teaching and learning,1
journal of computing in higher education,management decision,1
journal of computing in higher education,journal of teacher education,1
journal of computing in higher education,journal of research on technology in education,1
journal of computing in higher education,journal of personality and social psychology,1
am j physiol heart circ physiol,pacing clin electrophysiol,1
international journal of rf and microwave computeraided engineering,molecular genetics and metabolism,1
joint trauma system clinical practice guideline,ncbi,1
international journal of risk  safety in medicine,soil biology and biochemistry,1
journal of computer science and technology,sofsem 2007 theory and practice of computer science 33rd conference on current trends in theory and practice of computer science,1
journal of computer science and technology,science,1
joint forces quarterly,us army war college,1
journal of computer science and technology,renewable and sustainable energy reviews,1
journal of computer science and technology,queue,1
journal of computer science and technology,proceedings of the workshop on microkernels and other kernel architectures,1
journal of computer science and technology,proceedings of the sixteenth acm symposium on operating systems principles,1
journal of computer science and technology,proceedings of the november 16u201318 1971 fall joint computer conference,1
journal of computer science and technology,proceedings of the joint los alamos national laboratory u2013 commissariat xe0 lenergie atomique meeting held at cadarache castle provence france 22u201326 april 1985 montecarlo methods and applications in neutronics photonics and statistical physics alcouffe r dautray r forster a forster g mercier b eds springer verlag berlin,1
journal of computer science and technology,proceedings of the human factors and ergonomics society annual meeting,1
journal of computer science and technology,proceedings of the 17th aaai conference on latebreaking developments in the field of artificial intelligence,1
journal of computer science and technology,pc magazine,1
am j physiol lung cell mol physiol,apoptosis,1
american journal of epidemiology,revue medicale de la suisse romande,1
joint forces quarterly,world affairs,1
journal of computer science and technology,manufacturing engineering and materials handling parts a and b,1
journal of computer science and technology,manufacturing engineering and materials handling engineering,1
journal of computer science and technology,journal of information processing,1
journal of computer science and technology,journal of heuristics,1
international journal of risk  safety in medicine,sci total environ,1
am j physiol lung cell mol physiol,arch neurol,1
journal of computer science 2,journal of physics a mathematical and theoretical,1
joint forces quarterly,world politics review,1
joint global change research institute,mathematics magazine,1
journal of computer science  technology,science,1
journal of computer science  technology,queue,1
joint global change research institute,pacific affairs,1
international journal of risk  safety in medicine,science of the total environment,1
joint global change research institute,political economy for environmental planners,1
journal of computer science and technology,software practice and experience,1
am j physiol lung cell mol physiol,annu rev immunol,1
journal of computer science and technology,studies in computational intelligence,1
journal of computer science applications and information technology,princeton university,1
journal of computeraided materials design,journal of statistical physics,1
journal of computer security,wired,1
journal of computer security,the national law review,1
american journal of epidemiology,revista panamericana de salud pxfablica,1
joint force quarterly,usinenouvellecom,1
journal of computer security,the journal of supercomputing,1
joint force quarterly,wired,1
journal of computer security,science of computer programming,1
journal of computer security,proceedings of the 2nd usenix conference on file and storage technologies,1
journal of computer security,library mosaics,1
journal of computer security,journal of logical and algebraic methods in programming,1
journal of computer science applications and information technology,proceedings on privacy enhancing technologies popets,1
american journal of obstetrics  gynecology,gynxe9cologie et obstxe9trique,1
joint force quarterly,world politics,1
journal of computer science and technology,the journal of supercomputing,1
journal of computer science applications and information technology,missouri medicine,1
joint force quarterly ndu press,michigan state international law review,1
journal of computer science and technology,working paper,1
journal of computer science and technology,volume 3 38th design automation conference parts a and b,1
journal of computer science and technology,volume 2 32nd mechanisms and robotics conference parts a and b,1
joint force quarterly ndu press,observer research foundation  orf,1
joint force quarterly ndu press,unipath,1
joint force quarterly ndu press,world justice project,1
joint forces quarterly,naval war college review,1
american journal of obstetrics  gynecology,gynxe4kologischgeburtshilfliche rundschau,1
journal of computer science and technology,volume 1 aerial vehicles aerospace control alternative energy automotive control systems battery systems beams and flexible structures biologicallyinspired control and its applications biomedical and biomechanical systems biomedical robots and rehab bipeds and locomotion control design methods for adv powertrain systems and components control of adv combustion engines building energy systems mechanical systems control monitoring and energy harvesting of vibratory systems,1
journal of computer science and technology,u8ba1u7b97u673au5de5u7a0bu4e0eu5e94u7528,1
joint forces quarterly,the journal of conflict studies,1
joint global change research institute,population research and policy review,1
j clin oncol,platinum metals review,1
international journal of rf and microwave computeraided engineering,nber macroeconomics annual,1
j clin oncol,planta med,1
journal of computer information systems,social science  medicine,1
joint global ocean flux study protocols,new phytologist,1
j clin oncol,phys med biol,1
journal of computer information systems,small group research,1
journal of computer information systems,sex roles,1
joint global ocean flux study protocols,paleobiology,1
international journal of risk  safety in medicine,the journal of the american academy of psychiatry and the law,1
international journal of risk  safety in medicine,the lancet oncology,1
journal of computer information systems,scientometrics,1
journal of computer information systems,science communication,1
international journal of risk  safety in medicine,the liverpool law review,1
