journal_name,num_citation,area
acta palaeontologica polonica,1316,PS
acta palaeontologica sinica,87,
alcheringa an australasian journal of palaeontology,339,PS
all about soap,226,
ameghiniana,305,LS & PS
american journal of botany,1937,LS
american journal of human genetics,1938,LS & HS
american journal of physical anthropology,1039,SSH & HS
american journal of psychiatry,572,HS
american museum novitates,1305,SSH
analytical chemistry,978,PS
angewandte chemie international edition,1269,PS
animal behaviour,1618,LS
annales zoologici,157,LS
annals of internal medicine,1069,HS
arachnida u2013 rivista aracnologica italiana,21,
archives of biochemistry and biophysics,668,LS
astrobiology,400,LS & PS
astronomy  astrophysics,2205,PS
astronomy and astrophysics,4325,PS
astrophysical journal,1234,PS
baltic journal of coleopterology,49,LS
behavioral ecology and sociobiology,887,LS
biochem biophys res commun,2924,LS
biochemical and biophysical research communications,2631,LS
biochemistry,3864,LS
biochim biophys acta,1731,LS
biochimica et biophysica acta,2004,LS
bioessays,621,LS
bioinformatics,1176,LS & PS
biology letters,1010,LS
blood,3051,LS & HS
bmc bioinformatics,552,LS & PS
bmc evolutionary biology,1315,LS
bmc genomics,821,LS
bmj,3430,HS
boletxedn oficial del estado,924,
bulletin of geosciences,183,PS
canadian journal of earth sciences,730,PS
cancer res,1236,LS & HS
cancer research,1546,LS & HS
cell,9189,LS
cell cycle,444,LS
chemical reviews,1154,PS
circulation,1782,HS
circulation research,597,LS & HS
cochrane database of systematic reviews,1125,HS
comptes rendus palevol,345,PS
counselor education and supervision,14,SSH
cretaceous research,1984,PS
curr biol,881,LS
current biology,3025,LS
cytogenet cell genet,589,
development,1215,SSH
dna res,1121,LS & HS
doctor who classic comics,40,
doctor who magazine,298,
ear and hearing,53,HS
earth and environmental science transactions of the royal society of edinburgh,285,PS
earth and planetary science letters,1081,PS
elife,672,LS & HS
embo j,2247,LS
endocrinology,947,LS
eur j biochem,1040,LS
european journal of human genetics,807,LS & HS
europeasia studies,299,SSH
evolution,1392,LS
febs lett,1830,LS
febs letters,1796,LS
flight,1777,
flight international,3201,
folklore,462,SSH
foreign affairs,671,SSH
fossil record,151,PS
gaceta de madrid,294,
gene,4622,LS & HS
genes  development,1265,LS
genes dev,968,LS
genetics,1468,LS
genome biology,817,LS
genome res,7275,LS & HS
genome research,2196,LS & HS
genomics,4872,LS
geobios,355,PS
geochimica et cosmochimica acta,551,PS
geological magazine,538,PS
geology,1268,PS
geophysical research letters,1434,PS
gigascience,184,PS & HS
gondwana research,377,PS
hearing research,145,LS
historical biology an international journal of paleobiology,470,LS & PS
hum mol genet,1215,LS & HS
human molecular genetics,1335,LS & HS
icarus,2062,PS
immunity,678,LS & HS
inside soap,2642,
international journal of plant sciences,428,LS
international journal of systematic and evolutionary microbiology,5181,LS & HS
j bacteriol,862,LS
j cell biol,1514,LS
j cell sci,863,LS
j geophys res,401,LS & PS
j immunol,1148,LS & HS
j mol biol,1312,LS
j neurosci,871,LS
j virol,870,
jama,2645,HS
journal of bacteriology,1688,LS
journal of biological chemistry,30200,LS
journal of cell science,930,LS
journal of counseling  development,70,
journal of geophysical research,1588,LS & PS
journal of human evolution,971,LS & SSH
journal of immunology,1385,LS & HS
journal of mammalian evolution,319,LS
journal of molecular biology,1799,LS
journal of paleontology,1972,PS
journal of personality and social psychology,2105,SSH
journal of school counseling,12,
journal of south american earth sciences,348,PS
journal of systematic palaeontology,1145,PS
journal of the american chemical society,4532,LS & PS
journal of the botanical research institute of texas,72,LS
journal of vertebrate paleontology,3973,PS
journal of virology,1620,LS
lab on a chip,213,LS & PS
lancet,6484,HS
lloyds list,7347,
lpsn,3136,
malakozoologische blxe4tter,47,
man,289,PS
mol biol cell,773,LS
mol cell,976,LS
mol cell biol,2862,LS
mol endocrinol,374,LS & HS
molecular and cellular biology,2531,LS
molecular biology and evolution,1362,LS
molecular biology of the cell,674,LS
molecular cell,1341,LS
molecular endocrinology,339,LS & HS
molecular microbiology,670,LS
monthly notices of the royal astronomical society,3695,PS
mycologia,2635,LS & HS
mycotaxon,1295,LS
nano letters,608,PS
nat genet,3467,LS
nature,35475,Multi
nature biotechnology,1239,LS & PS
nature cell biology,648,LS
nature communications,2953,LS & PS
nature ecology  evolution,313,LS & PS
nature genetics,2299,LS
nature geoscience,607,PS
nature methods,700,LS
nature reviews genetics,723,LS & HS
neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,403,PS
neurology,1574,HS
neuron,1925,LS
new lloyds list,1741,
new scientist,1202,Multi
nucleic acids res,2718,LS
nucleic acids research,3540,LS
oncogene,3118,LS
palaeodiversity,134,LS & PS
palaeoentomology,104,LS
palaeogeography palaeoclimatology palaeoecology,1143,LS & PS
palaeontologia electronica,403,PS
palaeontology,1618,LS & PS
paleobiology,581,LS & PS
paleontological journal,994,PS
palz,146,
papers in palaeontology,228,PS
pediatrics,1804,HS
peerj,1429,LS & HS
phys rev lett,843,
physical review,1643,PS
physical review a,819,PS
physical review b,1325,PS
physical review d,1425,PS
physical review letters,4477,PS
physics letters b,709,PS
plos biology,1193,LS
plos genetics,1027,LS & HS
plos one,12602,Multi
pnas,29544,Multi
proceedings of the geologists association,190,PS
proceedings of the royal society b biological sciences,1579,"LS, PS & HS"
professional school counseling,206,
psychological bulletin,1074,SSH
publications of the astronomical society of the pacific,714,PS
quaternary science reviews,712,"LS, SSH & PS"
review of palaeobotany and palynology,397,LS & PS
royal society open science,431,Multi
russian entomological journal,202,LS
russian history,87,SSH
russian review,154,SSH
science,25924,Multi
science advances,667,Multi
scientific american,1722,Multi
scientific reports,3523,Multi
sitzungsberichte der gesellschaft naturforschender freunde zu berlin,128,
slavic review,536,SSH
soviet studies,143,SSH & PS
structure,873,LS
systematic entomology,577,LS
tetrahedron letters,670,LS & PS
the american journal of psychiatry,621,HS
the anatomical record,304,LS & HS
the astronomical journal,2752,PS
the astrophysical journal,6304,PS
the astrophysical journal letters,657,PS
the biochemical journal,3186,LS
the cochrane database of systematic reviews,3784,HS
the embo journal,2166,LS
the hollywood reporter,590,
the journal of cell biology,1510,LS
the journal of clinical investigation,966,HS
the journal of experimental medicine,694,LS & HS
the journal of modern history,383,SSH
the journal of neuroscience,1464,LS
the journal of organic chemistry,755,PS
the journal of the acoustical society of america,498,SSH & PS
the namesforlife abstracts,2028,
the new england journal of medicine,2282,HS
the russian review,136,Multi
the slavonic and east european review,315,SSH
tv week,1245,
variety,1738,
vertebrata palasiatica,436,PS
virology,968,LS
wwwdsmzde,1445,
wwwuniprotorg,3133,
zookeys,2266,LS
zoological journal of the linnean society,3304,LS
zootaxa,8241,LS
