source,target,weight
boletxedn oficial del estado,gaceta de madrid,8036
flight,flight international,4751
journal of counseling  development,professional school counseling,3583
folklore,man,2935
lloyds list,new lloyds list,2570
professional school counseling,counselor education and supervision,2068
professional school counseling,journal of school counseling,2068
american journal of psychiatry,the american journal of psychiatry,1715
the hollywood reporter,variety,1693
the slavonic and east european review,europeasia studies,1551
the journal of the acoustical society of america,ear and hearing,1523
the slavonic and east european review,the russian review,1411
lpsn,wwwdsmzde,1411
wwwuniprotorg,wwwdsmzde,1388
billboard,cash box,1382
billboard,rpm,1374
inside soap,soaplife,1369
the slavonic and east european review,soviet studies,1329
journal of the american chemical society,organic letters,1298
science,the astronomical journal,1286
slavic review,the slavic and east european journal,1265
chemical physics letters,the journal of chemical physics,1233
sitzungsberichte der gesellschaft naturforschender freunde zu berlin,jahrbxfccher der deutschen malakozoologischen gesellschaft,1207
journal of the american chemical society,accounts of chemical research,1194
lancet,the british medical journal,1171
the slavonic and east european review,foreign affairs,1161
russian review,europeasia studies,1157
the journal of modern history,europeasia studies,1139
sitzungsberichte der gesellschaft naturforschender freunde zu berlin,nachrichtenblatt der deutschen malakozoologischen gesellschaft,1136
nature,nature reviews molecular cell biology,1130
mathematics of computation,scientia utfsm journal,1116
nature,nature structural  molecular biology,1114
hum immunol,tissue antigens,1103
international journal of systematic and evolutionary microbiology,wwwdsmzde,1096
chicago tribune,the new york times,1091
journal of the american chemical society,angewandte chemie,1090
j bombay nat hist soc,newsletter for birdwatchers,1085
science,astronomy and astrophysics,1081
nature,cancer res,1075
journal of biological chemistry,virology,1068
sitzungsberichte der gesellschaft naturforschender freunde zu berlin,conchologische mittheilungen,1065
journal of the american chemical society,inorganic chemistry,1065
physical review letters,nature physics,1059
nature,trends in ecology  evolution,1049
mycologia,transactions of the british mycological society,1040
the journal of modern history,the russian review,1040
pnas,molecular ecology,1039
monthly notices of the royal astronomical society,the astrophysical journal letters,1039
nature,philosophical transactions of the royal society b,1038
slavic review,the american historical review,1034
icarus,journal of geophysical research planets,1026
icarus,planetary and space science,1022
russian review,soviet studies,1021
journal of biological chemistry,diabetes,1014
nature,physics today,1014
j am chem soc,j org chem,1008
pnas,annual review of biochemistry,1006
pnas,structure,1004
fertility and sterility,human reproduction update,1003
plos one,the american journal of human genetics,1001
cell,j cell biol,1001
the journal of chemical physics,the journal of physical chemistry a,999
science,trends in ecology  evolution,994
pnas,journal of molecular evolution,994
journal of biological chemistry,european journal of biochemistry  febs,991
russian review,the russian review,990
science,acs nano,986
nature,biochim biophys acta,985
nature,bioinformatics,984
nature,the astrophysical journal letters,984
pnas,j cell sci,979
plos one,geobios,978
pnas,physical review letters,976
cell,the journal of neuroscience,974
the cochrane database of systematic reviews,american journal of respiratory and critical care medicine,974
journal of biological chemistry,arch biochem biophys,970
pnas,j neurosci,970
journal of biological chemistry,embo reports,969
cretaceous research,palxe4ontologische zeitschrift,969
