ID;size
american journal of botany;1937
animal behaviour;1618
annales zoologici;157
archives of biochemistry and biophysics;668
baltic journal of coleopterology;49
behavioral ecology and sociobiology;887
biochem biophys res commun;2924
biochemical and biophysical research communications;2631
biochemistry;3864
biochim biophys acta;1731
biochimica et biophysica acta;2004
bioessays;621
biology letters;1010
bmc evolutionary biology;1315
bmc genomics;821
cell;9189
cell cycle;444
curr biol;881
current biology;3025
embo j;2247
endocrinology;947
eur j biochem;1040
evolution;1392
febs lett;1830
febs letters;1796
genes  development;1265
genes dev;968
genetics;1468
genome biology;817
genomics;4872
hearing research;145
international journal of plant sciences;428
j bacteriol;862
j cell biol;1514
j cell sci;863
j mol biol;1312
j neurosci;871
journal of bacteriology;1688
journal of biological chemistry;30200
journal of cell science;930
journal of mammalian evolution;319
journal of molecular biology;1799
journal of the botanical research institute of texas;72
journal of virology;1620
mol biol cell;773
mol cell;976
mol cell biol;2862
molecular and cellular biology;2531
molecular biology and evolution;1362
molecular biology of the cell;674
molecular cell;1341
molecular microbiology;670
mycotaxon;1295
nat genet;3467
nature cell biology;648
nature genetics;2299
nature methods;700
neuron;1925
nucleic acids res;2718
nucleic acids research;3540
oncogene;3118
palaeoentomology;104
plos biology;1193
russian entomological journal;202
structure;873
systematic entomology;577
the biochemical journal;3186
the embo journal;2166
the journal of cell biology;1510
the journal of neuroscience;1464
virology;968
zookeys;2266
zoological journal of the linnean society;3304
zootaxa;8241
