source;target;weight
cell;journal of biological chemistry;18217
journal of biological chemistry;oncogene;14178
journal of biological chemistry;molecular and cellular biology;11605
journal of biological chemistry;mol cell biol;11300
genomics;journal of biological chemistry;10360
biochemistry;journal of biological chemistry;9961
journal of biological chemistry;the biochemical journal;8813
biochemical and biophysical research communications;journal of biological chemistry;8008
journal of biological chemistry;the embo journal;7649
biochem biophys res commun;journal of biological chemistry;7519
embo j;journal of biological chemistry;7287
febs letters;journal of biological chemistry;5322
febs lett;journal of biological chemistry;5161
biochimica et biophysica acta;journal of biological chemistry;4828
journal of biological chemistry;the journal of cell biology;4523
journal of biological chemistry;molecular cell;4446
journal of biological chemistry;nucleic acids research;4398
journal of biological chemistry;nat genet;4308
j cell biol;journal of biological chemistry;4286
zookeys;zootaxa;4190
genes  development;journal of biological chemistry;3865
journal of biological chemistry;journal of molecular biology;3630
journal of biological chemistry;nucleic acids res;3537
cell;molecular and cellular biology;3302
palaeoentomology;zootaxa;3236
biochim biophys acta;journal of biological chemistry;3192
cell;oncogene;3147
journal of biological chemistry;nature genetics;3008
journal of biological chemistry;mol cell;3004
cell;nucleic acids research;2989
cell;the embo journal;2831
cell;molecular cell;2798
cell;genes  development;2798
journal of biological chemistry;neuron;2738
embo j;mol cell biol;2635
molecular and cellular biology;oncogene;2501
genes dev;journal of biological chemistry;2489
journal of biological chemistry;journal of cell science;2455
j cell sci;journal of biological chemistry;2379
journal of biological chemistry;journal of virology;2371
molecular and cellular biology;the embo journal;2355
current biology;journal of biological chemistry;2294
cell;mol cell biol;2289
journal of biological chemistry;molecular biology of the cell;2201
eur j biochem;journal of biological chemistry;2161
mol cell biol;oncogene;2138
journal of biological chemistry;nature cell biology;2112
systematic entomology;zootaxa;2080
j mol biol;journal of biological chemistry;2017
zoological journal of the linnean society;zootaxa;2006
cell;genomics;1974
journal of virology;virology;1940
cell;nature genetics;1866
journal of biological chemistry;mol biol cell;1797
cell;the journal of cell biology;1796
curr biol;journal of biological chemistry;1795
genes  development;molecular and cellular biology;1773
cell;embo j;1744
journal of biological chemistry;the journal of neuroscience;1685
molecular and cellular biology;molecular cell;1669
journal of molecular biology;nucleic acids research;1659
biochemical and biophysical research communications;cell;1642
cell;neuron;1630
j neurosci;journal of biological chemistry;1610
journal of biological chemistry;structure;1590
archives of biochemistry and biophysics;journal of biological chemistry;1553
neuron;the journal of neuroscience;1547
cell;current biology;1515
molecular and cellular biology;nucleic acids research;1493
endocrinology;journal of biological chemistry;1485
animal behaviour;behavioral ecology and sociobiology;1484
cell cycle;journal of biological chemistry;1449
genes dev;mol cell biol;1416
russian entomological journal;zootaxa;1416
