journal_name,num_citation
aachener nachrichten,22.0
abc spain,107.0
academy of management journal,159.0
academy of management review,128.0
acc chem res,162.0
accounts of chemical research,454.0
acs energy letters,26.0
acs nano,458.0
acta astronomica,93.0
acta chiropterologica,205.0
acta crystallographica section d,135.0
acta entomologica musei nationalis pragae,164.0
acta geologica polonica,64.0
acta geologica sinica,167.0
acta geologica sinica  english edition,70.0
acta geologica sinica english edition,128.0
acta neuropathologica,197.0
acta ophthalmologica,401.0
acta palaeobotanica,41.0
acta palaeontologica polonica,1316.0
acta palaeontologica sinica,87.0
acta psychiatrica scandinavica,215.0
acta zoologica cracoviensia,166.0
addiction,336.0
advanced functional materials,150.0
advanced materials,497.0
advanced synthesis  catalysis,54.0
advances in space research,230.0
aerosp med,21.0
aesthetic plastic surgery,48.0
aesthetic surgery journal,51.0
ageing research reviews,95.0
aging cell,155.0
agu fall meeting abstracts,215.0
aids,277.0
air international,64.0
airliner classics,4.0
airliner world,936.0
airship,7.0
aj,37.0
ajnr am j neuroradiol,50.0
alberta history,45.0
alcheringa an australasian journal of palaeontology,339.0
alimentary pharmacology  therapeutics,166.0
all about soap,226.0
allergy,219.0
allergy and asthma proceedings,36.0
am j hum genet,1405.0
am j med genet,300.0
am j obstet gynecol,269.0
am j ophthalmol,131.0
am j pathol,309.0
am j physiol,189.0
am j physiol cell physiol,126.0
am j physiol renal physiol,111.0
am j respir crit care med,165.0
ameghiniana,305.0
american alpine journal,299.0
american anthropologist,981.0
american antiquity,413.0
american economic review,809.0
american family physician,739.0
american fern journal,167.0
american heart journal,163.0
american journal of botany,1937.0
american journal of clinical dermatology,98.0
american journal of epidemiology,380.0
american journal of hematology,131.0
american journal of human biology,213.0
american journal of human genetics,1938.0
american journal of medical genetics,443.0
american journal of medical genetics part a,317.0
american journal of obstetrics and gynecology,457.0
american journal of physical anthropology,1039.0
american journal of physics,623.0
american journal of physiology cell physiology,152.0
american journal of physiology endocrinology and metabolism,121.0
american journal of physiology heart and circulatory physiology,201.0
american journal of physiology lung cellular and molecular physiology,112.0
american journal of physiology renal physiology,93.0
american journal of preventive medicine,229.0
american journal of primatology,332.0
american journal of psychiatry,572.0
american journal of public health,1196.0
american journal of respiratory and critical care medicine,346.0
american journal of science,474.0
american journal of sociology,551.0
american mineralogist,470.0
american museum novitates,1305.0
american naturalist,256.0
american philatelist,25.0
american political science review,418.0
american psychologist,1028.0
american scientist,496.0
american speech,285.0
american zoologist,211.0
amino acids,140.0
amusement business,184.0
amusement today,130.0
anaesthesia,199.0
anais da academia brasileira de cixeancias,235.0
anal biochem,348.0
anal chem,249.0
analog science fiction and fact,300.0
analytica chimica acta,146.0
analytical and bioanalytical chemistry,202.0
analytical biochemistry,335.0
analytical chemistry,978.0
andean geology,173.0
anesth analg,96.0
anesthesia  analgesia,119.0
anesthesia and analgesia,154.0
anesthesiology,451.0
angew chem int ed,368.0
angew chem int ed engl,186.0
angew chem int edit,12.0
angewandte chemie,447.0
angewandte chemie international edition,1269.0
angewandte chemie international edition in english,306.0
animal behaviour,1618.0
animal cognition,177.0
animus,32.0
ann intern med,314.0
ann n y acad sci,347.0
ann neurol,233.0
ann r coll surg engl,52.0
annalen der physik,438.0
annalen des naturhistorischen museums in wien serie a,22.0
annales de la socixe9txe9 entomologique de belgique,185.0
annales de la socixe9txe9 entomologique de france,366.0
annales de palxe9ontologie,161.0
annales zoologici,157.0
annals and magazine of natural history,614.0
annals of botany,640.0
annals of carnegie museum,140.0
annals of emergency medicine,279.0
annals of eugenics,57.0
annals of glaciology,94.0
annals of human biology,100.0
annals of human genetics,366.0
annals of internal medicine,1069.0
annals of mathematics,591.0
annals of neurology,453.0
annals of oncology,217.0
annals of physics,196.0
annals of plastic surgery,72.0
annals of the entomological society of america,792.0
annals of the missouri botanical garden,424.0
annals of the new york academy of sciences,1261.0
annals of the rheumatic diseases,228.0
annals of the royal college of surgeons of england,146.0
annu rev biochem,226.0
annual review of anthropology,277.0
annual review of astronomy and astrophysics,255.0
annual review of biochemistry,575.0
annual review of cell and developmental biology,142.0
annual review of earth and planetary sciences,294.0
annual review of ecology and systematics,332.0
annual review of ecology evolution and systematics,159.0
annual review of entomology,451.0
annual review of genetics,240.0
annual review of genomics and human genetics,125.0
annual review of immunology,225.0
annual review of microbiology,272.0
annual review of neuroscience,252.0
annual review of physiology,163.0
annual review of plant biology,154.0
annual review of psychology,350.0
antarctic science,123.0
anticancer research,163.0
antimicrobial agents and chemotherapy,665.0
antioxidants  redox signaling,127.0
antiquity,690.0
apj,71.0
appetite,172.0
appl environ microbiol,408.0
appl phys b,10.0
appl phys lett,168.0
applied and environmental microbiology,1313.0
applied animal behaviour science,275.0
applied cognitive psychology,194.0
applied microbiology and biotechnology,356.0
applied physics letters,1025.0
applied psychophysiology and biofeedback,46.0
aquaculture,221.0
aquatic mammals,121.0
arachnida u2013 rivista aracnologica italiana,21.0
ararat,19.0
arch biochem biophys,583.0
arch dis child,143.0
arch neurol,187.0
arch ophthalmol,163.0
archaeologia cantiana,150.0
archiv fxfcr naturgeschichte,71.0
archivaria,102.0
archives of biochemistry and biophysics,668.0
archives of dermatology,193.0
archives of disease in childhood,321.0
archives of general psychiatry,499.0
archives of internal medicine,491.0
archives of neurology,292.0
archives of otolaryngologyu2013head  neck surgery,72.0
archives of sexual behavior,653.0
archives of virology,288.0
arctic,365.0
arquivos entomolxf3xicos,15.0
arshaluys,12.0
arterioscler thromb vasc biol,120.0
arteriosclerosis thrombosis and vascular biology,221.0
arthritis and rheumatism,191.0
arthritis research  therapy,121.0
arthropod structure  development,136.0
arthropod systematics  phylogeny,71.0
arthropoda selecta,142.0
asimovs science fiction,127.0
astrobiology,400.0
astronomical journal,462.0
astronomische nachrichten,313.0
astronomy  astrophysics,2205.0
astronomy and astrophysics,4325.0
astronomy and astrophysics supplement series,357.0
astronomy letters,572.0
astroparticle physics,63.0
astrophys j,147.0
astrophysical journal,1234.0
astrophysical journal letters,195.0
astrophysical journal supplement series,171.0
astrophysics and space science,248.0
atherosclerosis,226.0
attitude,33.0
augmentative and alternative communication,51.0
auk,599.0
ausonia,29.0
australasian palaeontological memoirs,20.0
australian journal of botany,313.0
australian meteorological magazine,127.0
australian systematic botany,983.0
autocar,269.0
autoimmunity reviews,103.0
autophagy,87.0
autosport,224.0
aviation space and environmental medicine,163.0
aviation week  space technology,120.0
avicult mag,2.0
back issue,1069.0
bahai studies review,91.0
bahxe1u02bcxed news,396.0
baltic journal of coleopterology,49.0
basteria,59.0
batalleria,20.0
behavioral and brain sciences,409.0
behavioral ecology,550.0
behavioral ecology and sociobiology,887.0
behaviour,373.0
behaviour research and therapy,237.0
behavioural brain research,296.0
berichte der deutschen chemischen gesellschaft,358.0
best practice  research clinical rheumatology,45.0
billboard,10662.0
billboard magazine,262.0
biochem biophys res commun,2924.0
biochem soc trans,180.0
biochemical and biophysical research communications,2631.0
biochemical journal,327.0
biochemical pharmacology,470.0
biochemical society transactions,345.0
biochemistry,3864.0
biochim biophys acta,1731.0
biochimica et biophysica acta,2004.0
biochimie,334.0
bioessays,621.0
biogeosciences,94.0
biographical memoirs of fellows of the royal society,2382.0
bioinformatics,1176.0
biol chem,148.0
biologia,73.0
biological bulletin of bogdan chmelnitskiy melitopol state pedagogical university,2.0
biological chemistry,141.0
biological conservation,917.0
biological journal of the linnean society,757.0
biological psychiatry,548.0
biological reviews,403.0
biology and fertility of soils,50.0
biology direct,155.0
biology letters,1010.0
biology of reproduction,220.0
biomaterials,280.0
biometrics,156.0
bioorganic  medicinal chemistry,284.0
bioorganic  medicinal chemistry letters,529.0
biophys j,200.0
biophysical journal,562.0
biopolymers,145.0
biorxiv,271.0
bioscience,862.0
biosis biological systems,4.0
biosystems,102.0
biotechniques,157.0
biotechnology advances,99.0
bipolar disorders,84.0
bjog,94.0
bju international,178.0
blood,3051.0
bmc bioinformatics,552.0
bmc biology,302.0
bmc cancer,276.0
bmc complementary and alternative medicine,79.0
bmc evolutionary biology,1315.0
bmc genetics,166.0
bmc genomics,821.0
bmc medicine,176.0
bmc public health,353.0
bmj,3430.0
bmj clinical research ed,270.0
bmj open,252.0
boletxedn de la sociedad geolxf3gica mexicana,113.0
boletxedn oficial de la junta de defensa nacional de espaxf1a,1.0
boletxedn oficial del estado,924.0
